gas used, block number, num trades
138511, 550, 0
151496, 551, 0
140415, 552, 0
144901, 553, 0
261537, 554, 0
761518, 555, 8
294303, 556, 2
138511, 557, 0
216402, 558, 1
176303, 559, 0
216402, 560, 1
216402, 561, 1
140415, 562, 0
138377, 563, 0
140415, 564, 0
216402, 565, 1
214434, 566, 0
216402, 567, 1
144767, 568, 0
140415, 569, 0
297425, 570, 0
158359, 571, 0
147144, 572, 0
216402, 573, 1
147144, 574, 0
140415, 575, 0
165088, 576, 0
216402, 577, 1
605725, 578, 6
216402, 579, 1
216412, 580, 1
216402, 581, 1
216402, 582, 1
216402, 583, 1
294303, 584, 2
216402, 585, 1
579771, 586, 6
160602, 587, 0
294169, 588, 2
216402, 589, 1
216402, 590, 1
294303, 591, 2
209814, 592, 0
216402, 593, 1
216402, 594, 1
138511, 595, 0
203219, 596, 0
216402, 597, 1
216402, 598, 1
183032, 599, 0
216402, 600, 1
138511, 601, 0
140281, 602, 0
216268, 603, 1
221029, 604, 0
140415, 605, 0
232378, 606, 0
216402, 607, 1
294303, 608, 2
138511, 609, 0
216402, 610, 1
144901, 611, 0
294303, 612, 2
140415, 613, 0
149253, 614, 0
216402, 615, 1
216402, 616, 1
205462, 617, 0
142658, 618, 0
138511, 619, 0
151630, 620, 0
149387, 621, 0
216412, 622, 1
216402, 623, 1
149387, 624, 0
449942, 625, 4
216402, 626, 1
294303, 627, 2
216402, 628, 1
209948, 629, 0
151630, 630, 0
138377, 631, 0
216402, 632, 1
216402, 633, 1
140415, 634, 0
216402, 635, 1
449952, 636, 4
216402, 637, 1
140281, 638, 0
216543, 639, 0
140415, 640, 0
149387, 641, 0
216402, 642, 1
294303, 643, 2
165088, 644, 0
216402, 645, 1
216402, 646, 1
138511, 647, 0
190448, 648, 1
140415, 649, 0
149387, 650, 0
304154, 651, 0
216402, 652, 1
216402, 653, 1
216402, 654, 1
138511, 655, 0
138511, 656, 0
294303, 657, 2
147144, 658, 0
140415, 659, 0
995193, 660, 11
138377, 661, 0
216268, 662, 1
243593, 663, 0
216402, 664, 1
310883, 665, 0
216402, 666, 1
234621, 667, 0
169574, 668, 0
237521, 669, 0
216412, 670, 1
216402, 671, 1
277238, 672, 0
216402, 673, 1
995193, 674, 11
216402, 675, 1
216402, 676, 1
216402, 677, 1
216402, 678, 1
138511, 679, 0
138511, 680, 0
216402, 681, 1
142658, 682, 0
140415, 683, 0
306397, 684, 0
158359, 685, 0
216402, 686, 1
216402, 687, 1
297425, 688, 0
140415, 689, 0
230135, 690, 0
294303, 691, 2
149387, 692, 0
138511, 693, 0
140415, 694, 0
149387, 695, 0
310883, 696, 0
151630, 697, 0
212191, 698, 0
212191, 699, 0
216402, 700, 1
216402, 701, 1
164954, 702, 0
138377, 703, 0
142658, 704, 0
216402, 705, 1
167197, 706, 0
605735, 707, 6
147010, 708, 0
216402, 709, 1
216402, 710, 1
294159, 711, 2
216402, 712, 1
294303, 713, 2
138377, 714, 0
138511, 715, 0
149387, 716, 0
449942, 717, 4
216402, 718, 1
169574, 719, 0
216402, 720, 1
142658, 721, 0
216402, 722, 1
140415, 723, 0
185141, 724, 0
216402, 725, 1
216402, 726, 1
216402, 727, 1
140281, 728, 0
216402, 729, 1
294303, 730, 2
216402, 731, 1
216402, 732, 1
138511, 733, 0
250188, 734, 0
216402, 735, 1
216402, 736, 1
138511, 737, 0
169440, 738, 0
216402, 739, 1
310883, 740, 0
252565, 741, 0
216402, 742, 1
449952, 743, 4
138511, 744, 0
140415, 745, 0
294303, 746, 2
216402, 747, 1
216402, 748, 1
216402, 749, 1
216402, 750, 1
216402, 751, 1
216204, 752, 1
216402, 753, 1
140281, 754, 0
216412, 755, 1
245702, 756, 0
216268, 757, 1
216402, 758, 1
216402, 759, 1
216402, 760, 1
216402, 761, 1
216402, 762, 1
252431, 763, 0
216402, 764, 1
167197, 765, 0
216402, 766, 1
216402, 767, 1
138377, 768, 0
299668, 769, 0
216402, 770, 1
299668, 771, 0
216402, 772, 1
216402, 773, 1
216402, 774, 1
216402, 775, 1
234621, 776, 0
216402, 777, 1
216402, 778, 1
216402, 779, 1
216402, 780, 1
301911, 781, 0
151496, 782, 0
216402, 783, 1
142524, 784, 0
301911, 785, 0
294303, 786, 2
223406, 787, 0
216402, 788, 1
294303, 789, 2
216402, 790, 1
138511, 791, 0
142658, 792, 0
257051, 793, 0
216402, 794, 1
140415, 795, 0
216402, 796, 1
216402, 797, 1
294303, 798, 2
216402, 799, 1
225515, 800, 0
839409, 801, 9
167197, 802, 0
216402, 803, 1
216402, 804, 1
138377, 805, 0
216402, 806, 1
216402, 807, 1
216402, 808, 1
138511, 809, 0
216402, 810, 1
216402, 811, 1
223272, 812, 0
216402, 813, 1
294303, 814, 2
138511, 815, 0
216402, 816, 1
164954, 817, 0
164954, 818, 0
138511, 819, 0
140415, 820, 0
216402, 821, 1
216402, 822, 1
216402, 823, 1
216402, 824, 1
294303, 825, 2
216402, 826, 1
142524, 827, 0
138511, 828, 0
216402, 829, 1
236864, 830, 0
216402, 831, 1
147144, 832, 0
294159, 833, 2
234621, 834, 0
140281, 835, 0
140415, 836, 0
449942, 837, 4
140281, 838, 0
216402, 839, 1
294105, 840, 2
140281, 841, 0
138511, 842, 0
216402, 843, 1
216402, 844, 1
371996, 845, 3
223406, 846, 0
144767, 847, 0
216402, 848, 1
286076, 849, 0
216402, 850, 1
194113, 851, 0
209948, 852, 0
294303, 853, 2
138511, 854, 0
216402, 855, 1
189761, 856, 0
216402, 857, 1
216402, 858, 1
216402, 859, 1
140415, 860, 0
294303, 861, 2
232244, 862, 0
216402, 863, 1
216402, 864, 1
216402, 865, 1
294303, 866, 2
138511, 867, 0
138377, 868, 0
288453, 869, 0
216402, 870, 1
216402, 871, 1
283967, 872, 0
257051, 873, 0
216268, 874, 1
138511, 875, 0
216402, 876, 1
265889, 877, 0
605735, 878, 6
216402, 879, 1
216402, 880, 1
216402, 881, 1
216402, 882, 1
147010, 883, 0
281724, 884, 0
216402, 885, 1
286076, 886, 0
281590, 887, 0
294303, 888, 2
216402, 889, 1
138511, 890, 0
144767, 891, 0
216402, 892, 1
372060, 893, 3
216402, 894, 1
216402, 895, 1
138511, 896, 0
917301, 897, 10
216402, 898, 1
138377, 899, 0
306397, 900, 0
216402, 901, 1
216402, 902, 1
138511, 903, 0
227758, 904, 0
268349, 905, 2
216402, 906, 1
216402, 907, 1
140415, 908, 0
230135, 909, 0
216402, 910, 1
216402, 911, 1
294303, 912, 2
138511, 913, 0
169574, 914, 0
256853, 915, 0
140415, 916, 0
216402, 917, 1
216402, 918, 1
138511, 919, 0
140415, 920, 0
216402, 921, 1
144901, 922, 0
216402, 923, 1
216402, 924, 1
178546, 925, 0
294303, 926, 2
153873, 927, 0
216402, 928, 1
216402, 929, 1
605735, 930, 6
160468, 931, 0
216402, 932, 1
216402, 933, 1
216402, 934, 1
209814, 935, 0
216402, 936, 1
138511, 937, 0
216402, 938, 1
372050, 939, 3
274861, 940, 0
216402, 941, 1
216402, 942, 1
216402, 943, 1
216402, 944, 1
294303, 945, 2
209814, 946, 0
263780, 947, 0
216402, 948, 1
216402, 949, 1
294303, 950, 2
138511, 951, 0
266023, 952, 0
216402, 953, 1
140415, 954, 0
294303, 955, 2
216268, 956, 1
178412, 957, 0
147010, 958, 0
138511, 959, 0
227758, 960, 0
236864, 961, 0
153739, 962, 0
216402, 963, 1
140415, 964, 0
294159, 965, 2
216402, 966, 1
149253, 967, 0
216402, 968, 1
216402, 969, 1
216402, 970, 1
234621, 971, 0
216402, 972, 1
